Count.ID,Name,Date,State,City,Facility.Type,Staff.Confirmed,Residents.Confirmed,Staff.Deaths,Residents.Deaths,Staff.Recovered,Residents.Recovered,Staff.Tested,Residents.Tested,Staff.Negative,Residents.Negative,Staff.Pending,Residents.Pending,Staff.Quarantine,Residents.Quarantine,Residents.Population,Address,Zipcode,Zip4,County,County.FIPS,Latitude,Longitude,Notes,Website
11,ELBA,2020-07-24,Alabama,DANVILLE,Prison,1,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,201 E. 5TH ST,72833,NA,YELL,5149,35.0571619,-93.3931449,NA,http://www.doc.alabama.gov/covid19news
12,ELMORE,2020-07-24,Alabama,BAYAMÓN,Prison,16,4,0,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARR 5 AVE. CENTRAL JUANITA FINAL,960,NA,CATANO,72021,18.41318,-66.13556,NA,http://www.doc.alabama.gov/covid19news
13,FOUNTAIN,2020-07-24,Alabama,BAYAMÓN,Prison,18,8,0,0,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARR 5 AVE. CENTRAL JUANITA FINAL,960,NA,BAYAMON,72021,18.41318,-66.13556,NA,http://www.doc.alabama.gov/covid19news
14,FRANK LEE,2020-07-24,Alabama,DEATSVILLE,Prison,9,1,0,0,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5305 INGRAM RD.,36022,NA,ELMORE,1051,32.58367,-86.39186,NA,http://www.doc.alabama.gov/covid19news
15,HAMILTON A I,2020-07-24,Alabama,HAMILTON,Prison,2,1,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,223 SASSER DR,35570,NA,MARION,1093,34.1249818,-87.9927069,NA,http://www.doc.alabama.gov/covid19news
16,HAMILTON CBF,2020-07-24,Alabama,WILLCOX,Prison,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,450 S HASKELL AVE,85643,NA,COCHISE,4003,32.24887,-109.83552,NA,http://www.doc.alabama.gov/covid19news
17,HOLMAN,2020-07-24,Alabama,ATMORE,Prison,12,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,866 ROSS RD,36503,NA,ESCAMBIA,1053,31.13602,-87.44856,NA,http://www.doc.alabama.gov/covid19news
18,KILBY,2020-07-24,Alabama,MONTGOMERY,Prison,33,7,0,0,16,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,12201 WARES FERRY RD,36117,NA,MONTGOMERY,1101,32.3858336,-86.1040251,NA,http://www.doc.alabama.gov/covid19news
19,LIMESTONE,2020-07-24,Alabama,FAYETTEVILLE,Prison,5,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1155 CLYDESDALE DRIVE,72701,NA,WASHINGTON,5143,36.03357,-94.17791,NA,http://www.doc.alabama.gov/covid19news
20,LOXLEY,2020-07-24,Alabama,EDNA,Prison,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115 W MAIN,77957,NA,JACKSON,48239,28.97776,-96.64683,NA,http://www.doc.alabama.gov/covid19news
21,MOBILE,2020-07-24,Alabama,BISBEE,Prison,3,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,203 N JUDD DR,85603,NA,COCHISE,4003,31.4327787,-109.871456,NA,http://www.doc.alabama.gov/covid19news
NA,MONTGOMERY WF,2020-07-24,Alabama,NA,Prison,5,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.doc.alabama.gov/covid19news
23,NORTH ALABAMA,2020-07-24,Alabama,DECATUR,Prison,2,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1401 STATE HIGHWAY 20 WEST,35601,NA,MORGAN,1103,34.6187851,-87.0066501,NA,http://www.doc.alabama.gov/covid19news
24,RED EAGLE,2020-07-24,Alabama,MONTGOMERY,Prison,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1290 RED EAGLE RD,36110,NA,MONTGOMERY,1101,32.46545,-86.2381,NA,http://www.doc.alabama.gov/covid19news
NA,REGIONAL TRAINING CENTERS,2020-07-24,Alabama,NA,Prison,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.doc.alabama.gov/covid19news
25,ST CLAIR,2020-07-24,Alabama,CRANSTON,Prison,17,63,0,7,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,54 POWER RD,2920,NA,PROVIDENCE,44007,41.74985,-71.46166,NA,http://www.doc.alabama.gov/covid19news
27,STATON,2020-07-24,Alabama,ELMORE,Prison,27,25,0,6,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2690 MARION SPILLWAY RD,36025,NA,ELMORE,1051,32.5781,-86.33807,NA,http://www.doc.alabama.gov/covid19news
NA,TRAINING ACADEMY,2020-07-24,Alabama,NA,Prison,7,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.doc.alabama.gov/covid19news
28,TUTWILER,2020-07-24,Alabama,SIERRA VISTA,Prison,38,12,2,1,30,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,100 COLONIA DE SALUD,85635,NA,COCHISE,4003,31.55305,-110.23228,NA,http://www.doc.alabama.gov/covid19news
1377,TUTWILER QIF,2020-07-24,Alabama,NA,Prison,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.doc.alabama.gov/covid19news
29,VENTRESS,2020-07-24,Alabama,CLAYTON,Prison,18,0,0,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,379 ALABAMA HWY 239 N,36016,NA,BARBOUR,1005,31.88528,-85.48989,NA,http://www.doc.alabama.gov/covid19news
30,ANCHORAGE CCC,2020-07-24,Alaska,ANCHORAGE,Prison,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400 EAST 4TH AVENUE,99501,NA,ANCHORAGE,2020,61.218372,-149.8612818,(5/22/20) the 1 state-wide positive moved to Anchorage CC (and corrected previous dates--happened on 5/19) ( https://doc.alaska.gov/commish/pressreleases/Inmate%20at%20Anchorage%20Correctional%20Complex%20Tests%20Positive%20for%20COVID-19.pdf ) ----- (5/20/20) article reports 11 Lemon Creek staff members positive (https://www.alaskapublic.org/2020/05/20/state-officials-says-theyre-working-to-contain-juneaus-correctional-facility-outbreak/)     (4/26/20) first alaska DOC resident positive at Goose Creek CC ( https://www.adn.com/alaska-news/2020/04/26/inmate-at-wasilla-correctional-center-tests-positive-for-covid-19/ ) ----- (4/16/20) seven staff at Juneau/Lemon Creek test positive (https://www.anchoragepress.com/news/coronavirus/state-officials-speak-about-covid-19-testing-in-prisons/article_636fed1c-8011-11ea-a150-e71b2ff34af8.html) (4/15/20) two more staff (6 total) positive at JuneauLemon Creek Correctional Center ( https://www.alaskapublic.org/2020/04/14/2-more-staffers-at-lemon-creek-correctional-center-test-positive-for-covid-19/ ) ----- (4/14/20) three more Juneau officers test positive (https://www.adn.com/alaska-news/2020/04/13/four-employees-at-juneau-prison-have-tested-positive-for-covid-19/) ----- (4/10/20) first staff member tests positive (https://www.alaskapublic.org/2020/04/09/staff-member-at-juneaus-lemon-creek-correctional-center-has-covid-19/) ----- (4/3/20) article says no cases ( https://www.ktuu.com/content/news/DOC-implements-changes-in-Alaska-prisons-coronavirus-pandemic-569363581.html ),https://doc.alaska.gov/covid-19
31,GOOSE CREEK CC,2020-07-24,Alaska,ZEBULON,Prison,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070 COUNTY FARM ROAD,30295,NA,PIKE,13231,33.112,-84.34834,(5/22/20) the 1 state-wide positive moved to Anchorage CC (and corrected previous dates--happened on 5/19) ( https://doc.alaska.gov/commish/pressreleases/Inmate%20at%20Anchorage%20Correctional%20Complex%20Tests%20Positive%20for%20COVID-19.pdf ) ----- (5/20/20) article reports 11 Lemon Creek staff members positive (https://www.alaskapublic.org/2020/05/20/state-officials-says-theyre-working-to-contain-juneaus-correctional-facility-outbreak/)     (4/26/20) first alaska DOC resident positive at Goose Creek CC ( https://www.adn.com/alaska-news/2020/04/26/inmate-at-wasilla-correctional-center-tests-positive-for-covid-19/ ) ----- (4/16/20) seven staff at Juneau/Lemon Creek test positive (https://www.anchoragepress.com/news/coronavirus/state-officials-speak-about-covid-19-testing-in-prisons/article_636fed1c-8011-11ea-a150-e71b2ff34af8.html) (4/15/20) two more staff (6 total) positive at JuneauLemon Creek Correctional Center ( https://www.alaskapublic.org/2020/04/14/2-more-staffers-at-lemon-creek-correctional-center-test-positive-for-covid-19/ ) ----- (4/14/20) three more Juneau officers test positive (https://www.adn.com/alaska-news/2020/04/13/four-employees-at-juneau-prison-have-tested-positive-for-covid-19/) ----- (4/10/20) first staff member tests positive (https://www.alaskapublic.org/2020/04/09/staff-member-at-juneaus-lemon-creek-correctional-center-has-covid-19/) ----- (4/3/20) article says no cases ( https://www.ktuu.com/content/news/DOC-implements-changes-in-Alaska-prisons-coronavirus-pandemic-569363581.html ),https://doc.alaska.gov/covid-19
NA,LEMON CREEK CC JUNEAU,2020-07-24,Alaska,NA,Prison,11,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(5/22/20) the 1 state-wide positive moved to Anchorage CC (and corrected previous dates--happened on 5/19) ( https://doc.alaska.gov/commish/pressreleases/Inmate%20at%20Anchorage%20Correctional%20Complex%20Tests%20Positive%20for%20COVID-19.pdf ) ----- (5/20/20) article reports 11 Lemon Creek staff members positive (https://www.alaskapublic.org/2020/05/20/state-officials-says-theyre-working-to-contain-juneaus-correctional-facility-outbreak/)     (4/26/20) first alaska DOC resident positive at Goose Creek CC ( https://www.adn.com/alaska-news/2020/04/26/inmate-at-wasilla-correctional-center-tests-positive-for-covid-19/ ) ----- (4/16/20) seven staff at Juneau/Lemon Creek test positive (https://www.anchoragepress.com/news/coronavirus/state-officials-speak-about-covid-19-testing-in-prisons/article_636fed1c-8011-11ea-a150-e71b2ff34af8.html) (4/15/20) two more staff (6 total) positive at JuneauLemon Creek Correctional Center ( https://www.alaskapublic.org/2020/04/14/2-more-staffers-at-lemon-creek-correctional-center-test-positive-for-covid-19/ ) ----- (4/14/20) three more Juneau officers test positive (https://www.adn.com/alaska-news/2020/04/13/four-employees-at-juneau-prison-have-tested-positive-for-covid-19/) ----- (4/10/20) first staff member tests positive (https://www.alaskapublic.org/2020/04/09/staff-member-at-juneaus-lemon-creek-correctional-center-has-covid-19/) ----- (4/3/20) article says no cases ( https://www.ktuu.com/content/news/DOC-implements-changes-in-Alaska-prisons-coronavirus-pandemic-569363581.html ),https://doc.alaska.gov/covid-19
33,STATEWIDE,2020-07-24,Alaska,NA,Prison,NA,16,NA,NA,NA,NA,NA,2224,NA,1909,NA,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(5/22/20) the 1 state-wide positive moved to Anchorage CC (and corrected previous dates--happened on 5/19) ( https://doc.alaska.gov/commish/pressreleases/Inmate%20at%20Anchorage%20Correctional%20Complex%20Tests%20Positive%20for%20COVID-19.pdf ) ----- (5/20/20) article reports 11 Lemon Creek staff members positive (https://www.alaskapublic.org/2020/05/20/state-officials-says-theyre-working-to-contain-juneaus-correctional-facility-outbreak/)     (4/26/20) first alaska DOC resident positive at Goose Creek CC ( https://www.adn.com/alaska-news/2020/04/26/inmate-at-wasilla-correctional-center-tests-positive-for-covid-19/ ) ----- (4/16/20) seven staff at Juneau/Lemon Creek test positive (https://www.anchoragepress.com/news/coronavirus/state-officials-speak-about-covid-19-testing-in-prisons/article_636fed1c-8011-11ea-a150-e71b2ff34af8.html) (4/15/20) two more staff (6 total) positive at JuneauLemon Creek Correctional Center ( https://www.alaskapublic.org/2020/04/14/2-more-staffers-at-lemon-creek-correctional-center-test-positive-for-covid-19/ ) ----- (4/14/20) three more Juneau officers test positive (https://www.adn.com/alaska-news/2020/04/13/four-employees-at-juneau-prison-have-tested-positive-for-covid-19/) ----- (4/10/20) first staff member tests positive (https://www.alaskapublic.org/2020/04/09/staff-member-at-juneaus-lemon-creek-correctional-center-has-covid-19/) ----- (4/3/20) article says no cases ( https://www.ktuu.com/content/news/DOC-implements-changes-in-Alaska-prisons-coronavirus-pandemic-569363581.html ),https://doc.alaska.gov/covid-19
56,CUMMINS UNIT PRISON,2020-07-24,Arkansas,GRADY,Prison,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STATE HWY 388,71644,500,LINCOLN,5079,34.05776,-91.579,"(5/12/20) removed staff count from Cummins and reported only state-wide count, as it appears recoveries are being subtracted but not separately reported     (5/10/20) article reports fifth resident death at Cummins (https://www.thv11.com/article/news/health/coronavirus/cummins-unit-inmate-dies-while-being-treated-for-covid-related-symptoms/91-8ae65911-7bac-450c-aba5-1f43b5942adc)     (5/4/20) article reports 4 confirmed deaths, appears in Cummins (https://katv.com/news/local/scared-to-death-mother-of-inmate-at-cummins-speaks-out-as-covid-19-death-toll-rises)     (4/28/20) 921 positive residents now, but no news details how many are at Cummins. (4/24/20) article reports 690 inmates infected at Cummins and ""over 30"" staff, state website count is 751 residents and 64 staff - updated Cummins info with 690 and 30 and placed balance of positive tests in state-wide count (https://www.baxterbulletin.com/story/news/local/2020/04/24/coronavirus-arkansas-covid-19-cases-jump-cummins-state-prison/3022970001/)     (4/21/20) article says 675 residents positive at Cummins Unit. Subtracted from total on the DOC website to get the rest in the state-wide row. ( https://www.ky3.com/content/news/Prison-outbreak-leads-to-another-large-daily-spike-in-cases-of-COVID-19-569825491.html ) ----- (4/20/20) Website still not updated since 4/17, so we are not seeing the Cummins bump yet (4/19/20) article says that 348 inmates at Cummins Unit in Arkansas are positive. Still not on DOC website, so not coding, but imagine it will be on there tomorrow ----- (4/17/20) article says that of the 163 positive residents, 129 are at Cummins Unit (so coded them there for now) ( https://www.ualrpublicradio.org/post/covid-19-cases-spike-arkansas-prison-gov-aims-ease-business-restrictions-may ) ----- (4/14/20) 62 inmates now being reported on main page, which presumably accounts for 44 at Cummins, so removed the count at Cummins and moved it into state-wide (4/13/20) 44 residents at Cummins Unit Prison test positive (not on DOC website though) ( https://katv.com/news/local/43-inmates-in-one-arkansas-prison-barrack-test-positive-for-covid-19 ) ----- Arkansas posted a tracker 4/7/20. Note: Positives are those ""in quarantine,"" suggesting that recovered positives will no longer be included",https://adc.arkansas.gov/coronavirus-covid-19-updates
57,STATEWIDE,2020-07-24,Arkansas,NA,Prison,254,3728,NA,NA,214,2788,2378,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(5/12/20) removed staff count from Cummins and reported only state-wide count, as it appears recoveries are being subtracted but not separately reported     (5/10/20) article reports fifth resident death at Cummins (https://www.thv11.com/article/news/health/coronavirus/cummins-unit-inmate-dies-while-being-treated-for-covid-related-symptoms/91-8ae65911-7bac-450c-aba5-1f43b5942adc)     (5/4/20) article reports 4 confirmed deaths, appears in Cummins (https://katv.com/news/local/scared-to-death-mother-of-inmate-at-cummins-speaks-out-as-covid-19-death-toll-rises)     (4/28/20) 921 positive residents now, but no news details how many are at Cummins. (4/24/20) article reports 690 inmates infected at Cummins and ""over 30"" staff, state website count is 751 residents and 64 staff - updated Cummins info with 690 and 30 and placed balance of positive tests in state-wide count (https://www.baxterbulletin.com/story/news/local/2020/04/24/coronavirus-arkansas-covid-19-cases-jump-cummins-state-prison/3022970001/)     (4/21/20) article says 675 residents positive at Cummins Unit. Subtracted from total on the DOC website to get the rest in the state-wide row. ( https://www.ky3.com/content/news/Prison-outbreak-leads-to-another-large-daily-spike-in-cases-of-COVID-19-569825491.html ) ----- (4/20/20) Website still not updated since 4/17, so we are not seeing the Cummins bump yet (4/19/20) article says that 348 inmates at Cummins Unit in Arkansas are positive. Still not on DOC website, so not coding, but imagine it will be on there tomorrow ----- (4/17/20) article says that of the 163 positive residents, 129 are at Cummins Unit (so coded them there for now) ( https://www.ualrpublicradio.org/post/covid-19-cases-spike-arkansas-prison-gov-aims-ease-business-restrictions-may ) ----- (4/14/20) 62 inmates now being reported on main page, which presumably accounts for 44 at Cummins, so removed the count at Cummins and moved it into state-wide (4/13/20) 44 residents at Cummins Unit Prison test positive (not on DOC website though) ( https://katv.com/news/local/43-inmates-in-one-arkansas-prison-barrack-test-positive-for-covid-19 ) ----- Arkansas posted a tracker 4/7/20. Note: Positives are those ""in quarantine,"" suggesting that recovered positives will no longer be included",https://adc.arkansas.gov/coronavirus-covid-19-updates
NA,ASP AVENALSTATEPRISON,2020-07-24,California,NA,Prison,92,1094,NA,5,43,910,NA,833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,CAC CALIFORNIACITYCORRECTIONALFACILITY,2020-07-24,California,NA,Prison,10,1,NA,0,4,1,NA,1068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,CAL CALIPATRIASTATEPRISON,2020-07-24,California,NA,Prison,53,24,NA,0,24,1,NA,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,CCC CACORRECTIONALCENTER,2020-07-24,California,NA,Prison,10,512,NA,0,7,250,NA,1252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,CCI CACORRECTIONALINSTITUTION,2020-07-24,California,NA,Prison,112,415,NA,0,17,100,NA,1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,CCWF CENTRALCAWOMENSFACILITY,2020-07-24,California,NA,Prison,15,5,NA,0,6,0,NA,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,CDCR CCHCS WORKSITE LOCATION KERN COUNTY,2020-07-24,California,NA,Prison,3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
101,CDCR CCHCS WORKSITE LOCATION LOS ANGELES COUNTY,2020-07-24,California,NA,Prison,7,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,CDCR CCHCS WORKSITE LOCATION SAN DIEGO COUNTY,2020-07-24,California,NA,Prison,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,CDCR CCHCS WORKSITE LOCATION SAN JOAQUIN COUNTY,2020-07-24,California,NA,Prison,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,CDCR CCHCS WORKSITE LOCATION SANTA BARBARA COUNTY,2020-07-24,California,NA,Prison,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,CDCR CCHCS WORKSITE LOCATION STANISLAUS COUNTY,2020-07-24,California,NA,Prison,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,CEN CENTINELASTATEPRISON,2020-07-24,California,NA,Prison,72,36,NA,0,22,17,NA,754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,CHCF CALIFORNIAHEALTHCAREFACILITY,2020-07-24,California,NA,Prison,43,3,NA,0,16,0,NA,1185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,CIM CAINSTITUTIONFORMEN,2020-07-24,California,NA,Prison,112,1028,NA,19,68,895,NA,798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,CIW CAINSTITUTIONFORWOMEN,2020-07-24,California,NA,Prison,30,284,NA,1,22,163,NA,617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,CMC CAMENSCOLONY,2020-07-24,California,NA,Prison,6,11,NA,0,2,11,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,CMF CAMEDICALFACILITY,2020-07-24,California,NA,Prison,15,3,NA,0,3,0,NA,860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,COR CASTATEPRISONCORCORAN,2020-07-24,California,NA,Prison,48,164,NA,1,14,155,NA,583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,CRC CAREHABILITATIONCENTER,2020-07-24,California,NA,Prison,53,369,NA,0,29,263,NA,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,CTC RICHARD A MCGEE CORRECTIONAL TRAINING CENTER GALT CTC,2020-07-24,California,NA,Prison,8,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,CTF CORRECTIONALTRAININGFACILITY,2020-07-24,California,NA,Prison,2,0,NA,0,2,0,NA,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,CVSP CHUCKAWALLAVALLEYSTATEPRISON,2020-07-24,California,NA,Prison,66,1054,NA,2,59,1030,NA,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,DVI DEUELVOCATIONALINSTITUTION,2020-07-24,California,NA,Prison,10,0,NA,0,2,0,NA,754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,FSP FOLSOMSTATEPRISON,2020-07-24,California,NA,Prison,5,2,NA,0,4,1,NA,939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,HDSP HIGHDESERTSTATEPRISON,2020-07-24,California,NA,Prison,13,4,NA,0,8,0,NA,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,ISP IRONWOODSTATEPRISON,2020-07-24,California,NA,Prison,105,50,NA,0,76,17,NA,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
NA,KVSP KERNVALLEYSTATEPRISON,2020-07-24,California,NA,Prison,34,3,NA,0,5,0,NA,2493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/
80,LA JAIL,2020-07-24,California,NA,Jail,668,2998,NA,6,NA,2724,NA,NA,NA,15044,NA,NA,637,1347,12428,NA,NA,NA,NA,NA,NA,NA,NA,https://lasd.org/covid19updates/
